Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,1/10/2023,9076,CBAD,21,8,8719,2534
Intermedio,4/10/2023,9066,ACAB,4,11,3720,9941
Dominical,9/10/2023,1600,CAAC,22,11,348,4120
Dominical,15-10-2023,6012,BACC,25,15,1099,2766
Dominical,22-10-2023,7691,CDCC,22,13,7485,308
Intermedio,26-10-2023,9892,DCAD,14,13,3022,3129
Dominical,30-10-2023,6837,BCDA,11,12,7960,5436
Dominical,9/3/2023,9527,CDCB,2,1,4317,168
Intermedio,9/6/2023,6718,DBDB,18,11,482,7281
Intermedio,8/2/2023,6480,BCAC,8,11,9228,417
Dominical,6/8/2023,2781,DDAC,19,6,8416,4621
Intermedio,9/8/2023,1859,CDDD,1,13,2563,572
Dominical,13-08-2023,1985,AACC,19,8,3335,1
Intermedio,16-08-2023,7216,DBCD,14,1,4133,2604
Extraordinaria,20-08-2023,77610,BBCB,2,14,25662,65848
Intermedio,23-08-2023,5167,CADC,1,13,8410,1940
Zodiaco,25-08-2023,4812,BDBD,5,25,41,80
Dominical,27-08-2023,4312,CADA,10,5,9089,6021
Intermedio,30-08-2023,1765,DCDC,12,7,1273,1043
Dominical,2/7/2023,3735,BACD,15,1,4047,4472
Intermedio,5/7/2023,3411,ACDA,8,5,3323,8575
Dominical,9/7/2023,6368,BDCC,12,13,8051,5906
Intermedio,12/7/2023,1933,ABCC,15,10,8395,8608
Dominical,16-07-2023,2770,BABC,20,13,7208,3630
Intermedio,19-07-2023,221,DBCA,20,7,2004,8580
Zodiaco,21-07-2023,9889,ADCC,5,9,82,24
Dominical,23-07-2023,1658,CCBC,18,4,3622,7784
Intermedio,26-07-2023,3038,AADD,14,12,6249,9779
Dominical,30-07-2023,7217,BDCC,2,3,2609,2270
Dominical,4/6/2023,4625,BCDB,6,15,3816,7023
Intermedio,7/6/2023,3116,AACA,13,1,6421,2364
Dominical,11/6/2023,3938,DDCD,19,11,7613,3100
Intermedio,14-06-2023,9111,DAAC,11,7,5765,5930
Dominical,18-06-2023,83,ADAB,10,6,3699,844
Intermedio,21-06-2023,395,DDCA,10,4,1958,5711
Dominical,25-06-2023,9640,BDBA,10,6,2149,5428
Intermedio,28-06-2023,5634,CDCD,14,3,9942,7125
Zodiaco,30-06-2023,833,CDDB,7,18,74,52
Intermedio,3/5/2023,5236,AADD,6,5,1732,8836
Dominical,7/5/2023,7574,BABA,2,11,1132,8229
Intermedio,10/5/2023,1231,AADC,8,12,5567,6774
Dominical,14-05-2023,2929,CBBB,20,12,3754,5522
Intermedio,17-05-2023,2299,ACDB,12,13,2652,3698
Dominical,21-05-2023,8947,DAAA,4,12,2879,1169
Intermedio,24-05-2023,6840,DCCD,17,4,2118,8492
