Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,2023-10-01,9076,CBAD,21,8,8719,2534
Intermedio,2023-10-04,9066,ACAB,4,11,3720,9941
Dominical,2023-10-09,1600,CAAC,22,11,0348,4120
Dominical,2023-10-15,6012,BACC,25,15,1099,2766
Dominical,2023-10-22,7691,CDCC,22,13,7485,0308
Intermedio,2023-10-26,9892,DCAD,14,13,3022,3129
Dominical,2023-10-30,6837,BCDA,11,12,7960,5436
Dominical,2023-03-09,9527,CDCB,2,1,4317,0168
Intermedio,2023-06-09,6718,DBDB,18,11,0482,7281
Intermedio,2023-02-08,6480,BCAC,8,11,9228,0417
Dominical,2023-08-06,2781,DDAC,19,6,8416,4621
Intermedio,2023-08-09,1859,CDDD,1,13,2563,0572
Dominical,2023-08-13,1985,AACC,19,8,3335,0001
Intermedio,2023-08-16,7216,DBCD,14,1,4133,2604
Extraordinaria,2023-08-20,77610,BBCB,2,14,25662,65848
Intermedio,2023-08-23,5167,CADC,1,13,8410,1940
Zodiaco,2023-08-25,4812,BDBD,5,25,0041,0080
Dominical,2023-08-27,4312,CADA,10,5,9089,6021
Intermedio,2023-08-30,1765,DCDC,12,7,1273,1043
Dominical,2023-07-02,3735,BACD,15,1,4047,4472
Intermedio,2023-07-05,3411,ACDA,8,5,3323,8575
Dominical,2023-07-09,6368,BDCC,12,13,8051,5906
Intermedio,2023-07-12,1933,ABCC,15,10,8395,8608
Dominical,2023-07-16,2770,BABC,20,13,7208,3630
Intermedio,2023-07-19,0221,DBCA,20,7,2004,8580
Zodiaco,2023-07-21,9889,ADCC,5,9,0082,0024
Dominical,2023-07-23,1658,CCBC,18,4,3622,7784
Intermedio,2023-07-26,3038,AADD,14,12,6249,9779
Dominical,2023-07-30,7217,BDCC,2,3,2609,2270
Dominical,2023-06-04,4625,BCDB,6,15,3816,7023
Intermedio,2023-06-07,3116,AACA,13,1,6421,2364
Dominical,2023-06-11,3938,DDCD,19,11,7613,3100
Intermedio,2023-06-14,9111,DAAC,11,7,5765,5930
Dominical,2023-06-18,0083,ADAB,10,6,3699,0844
Intermedio,2023-06-21,0395,DDCA,10,4,1958,5711
Dominical,2023-06-25,9640,BDBA,10,6,2149,5428
Intermedio,2023-06-28,5634,CDCD,14,3,9942,7125
Zodiaco,2023-06-30,0833,CDDB,7,18,0074,0052
Intermedio,2023-05-03,5236,AADD,6,5,1732,8836
Dominical,2023-05-07,7574,BABA,2,11,1132,8229
Intermedio,2023-05-10,1231,AADC,8,12,5567,6774
Dominical,2023-05-14,2929,CBBB,20,12,3754,5522
Intermedio,2023-05-17,2299,ACDB,12,13,2652,3698
Dominical,2023-05-21,8947,DAAA,4,12,2879,1169
Intermedio,2023-05-24,6840,DCCD,17,4,2118,8492
Zodiaco,2023-05-26,7390,CADD,6,5,0034,0038
Dominical,2023-05-28,2854,DCCC,16,2,8811,8363
Intermedio,2023-05-31,0489,DBBD,20,8,0523,4257
Dominical,2023-04-02,9987,ADCC,13,14,0806,7726
Intermedio,2023-04-05,6419,BBAC,14,9,5499,4746
Dominical,2023-04-09,5414,ABAB,17,12,8878,1857
